Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Bangladesh,03/08/2020,3,0,0,3,10,0
Bangladesh,03/09/2020,3,0,0,3,10,0
Bangladesh,03/10/2020,3,0,0,3,16,0
Bangladesh,03/11/2020,3,0,0,3,24,0
Bangladesh,03/12/2020,3,0,0,3,24,0
Bangladesh,3/13/20,3,0,0,3,30,0
Bangladesh,3/14/20,3,0,0,3,27,0
Bangladesh,3/15/20,5,0,0,5,25,0
Bangladesh,3/16/20,8,2,0,6,49,0
Bangladesh,3/17/20,10,3,0,7,39,0
Bangladesh,3/18/20,14,3,1,10,46,0
Bangladesh,3/19/20,17,3,1,13,36,0
Bangladesh,3/20/20,20,3,1,16,36,0
Bangladesh,3/21/20,25,3,2,20,65,0
Bangladesh,3/22/20,27,3,2,22,56,0
Bangladesh,3/23/20,33,3,3,27,92,1
Bangladesh,3/24/20,39,5,4,30,82,1
Bangladesh,3/25/20,39,7,5,27,126,1
Bangladesh,3/26/20,44,11,5,28,106,1
Bangladesh,3/27/20,48,11,5,32,50,1
Bangladesh,3/28/20,48,15,5,28,109,1
Bangladesh,3/29/20,48,15,5,28,153,1
Bangladesh,3/30/20,49,19,5,25,264,1
Bangladesh,3/31/20,51,25,5,21,157,1
Bangladesh,04/01/2020,54,25,6,23,147,1
Bangladesh,04/02/2020,56,25,6,25,207,1
Bangladesh,04/03/2020,61,26,6,29,434,1
Bangladesh,04/04/2020,70,30,8,32,367,1
Bangladesh,04/05/2020,88,33,9,46,696,1
Bangladesh,04/06/2020,123,33,12,78,792,1
Bangladesh,04/07/2020,164,33,17,114,981,1
Bangladesh,04/08/2020,218,33,20,165,1097,1
Bangladesh,04/09/2020,330,33,21,276,1184,1
Bangladesh,04/10/2020,424,33,27,364,649,1
Bangladesh,04/11/2020,482,36,30,416,1340,1
Bangladesh,04/12/2020,621,39,34,548,1570,1
Bangladesh,4/13/20,803,42,39,722,1905,1
Bangladesh,4/14/20,1012,42,46,924,1740,1
Bangladesh,4/15/20,1231,49,50,1132,2135,1
Bangladesh,4/16/20,1572,49,60,1463,2190,1
Bangladesh,4/17/20,1838,58,75,1705,2114,1
Bangladesh,4/18/20,2144,66,84,1994,2634,1
Bangladesh,4/19/20,2456,75,91,2290,2663,1
Bangladesh,4/20/20,2948,85,101,2762,2974,1
Bangladesh,4/21/20,3382,87,110,3185,3096,1
Bangladesh,4/22/20,3772,92,120,3560,3416,1
Bangladesh,4/23/20,4186,108,127,3951,3686,1
Bangladesh,4/24/20,4689,112,131,4446,3337,1
Bangladesh,4/25/20,4998,113,140,4745,3476,1
Bangladesh,4/26/20,5416,122,145,5149,3812,1
Bangladesh,4/27/20,5913,131,152,5630,4332,1
Bangladesh,4/28/20,6462,139,155,6168,4968,1
Bangladesh,4/29/20,7103,150,163,6790,4965,1
Bangladesh,4/30/20,7667,160,168,7339,5573,1
Bangladesh,05/01/2020,8238,174,170,7894,5827,1
Bangladesh,05/02/2020,8790,177,175,8438,5368,1
Bangladesh,05/03/2020,9455,1063,177,8215,6260,1
Bangladesh,05/04/2020,10143,1209,182,8752,5711,1
Bangladesh,05/05/2020,10929,1403,183,9343,5890,1
Bangladesh,05/06/2020,11719,1403,186,10130,6241,1
Bangladesh,05/07/2020,12425,1910,199,10316,5867,1
Bangladesh,05/08/2020,13134,2101,206,10827,5941,1
Bangladesh,05/09/2020,13770,2414,214,11142,5465,1
Bangladesh,05/10/2020,14657,2650,228,11779,5738,1
Bangladesh,05/11/2020,15691,2902,239,12550,7208,1
Bangladesh,05/12/2020,16660,3147,250,13263,6773,1
Bangladesh,5/13/20,17822,3361,269,14192,7900,1
Bangladesh,5/14/20,18863,3361,283,15219,7392,1
Bangladesh,5/15/20,20065,3882,298,15885,8582,1
Bangladesh,5/16/20,20995,4117,314,16564,6782,1
