Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Bhutan,03/06/2020,1,0,0,1,1,0
Bhutan,03/07/2020,1,0,0,1,1,0
Bhutan,03/08/2020,1,0,0,1,1,0
Bhutan,03/09/2020,1,0,0,1,1,0
Bhutan,03/10/2020,1,0,0,1,1,0
Bhutan,03/11/2020,1,0,0,1,1,0
Bhutan,03/12/2020,1,0,0,1,1,0
Bhutan,3/13/20,1,0,0,1,1,0
Bhutan,3/14/20,1,0,0,1,1,0
Bhutan,3/15/20,1,0,0,1,1,0
Bhutan,3/16/20,1,0,0,1,1,0
Bhutan,3/17/20,1,0,0,1,1,0
Bhutan,3/18/20,1,0,0,1,1,0
Bhutan,3/19/20,1,0,0,1,1,0
Bhutan,3/20/20,2,0,0,2,2,0
Bhutan,3/21/20,2,0,0,2,2,0
Bhutan,3/22/20,2,0,0,2,2,0
Bhutan,3/23/20,2,0,0,2,2,0
Bhutan,3/24/20,2,0,0,2,34,0
Bhutan,3/25/20,2,0,0,2,10,0
Bhutan,3/26/20,2,0,0,2,25,0
Bhutan,3/27/20,3,0,0,3,33,0
Bhutan,3/28/20,3,0,0,3,18,0
Bhutan,3/29/20,4,0,0,4,58,0
Bhutan,3/30/20,4,0,0,4,47,0
Bhutan,3/31/20,4,0,0,4,74,0
Bhutan,04/01/2020,4,0,0,4,42,0
Bhutan,04/02/2020,5,1,0,4,47,0
Bhutan,04/03/2020,5,2,0,3,35,0
Bhutan,04/04/2020,5,2,0,3,21,0
Bhutan,04/05/2020,5,2,0,3,25,0
Bhutan,04/06/2020,5,2,0,3,5,0
Bhutan,04/07/2020,5,2,0,3,203,0
Bhutan,04/08/2020,5,2,0,3,10,0
Bhutan,04/09/2020,5,2,0,3,110,0
Bhutan,04/10/2020,5,2,0,3,3811,0
Bhutan,04/11/2020,5,2,0,3,260,0
Bhutan,04/12/2020,5,2,0,3,298,0
Bhutan,4/13/20,5,2,0,3,722,0
Bhutan,4/14/20,5,2,0,3,631,0
Bhutan,4/15/20,5,2,0,3,444,0
Bhutan,4/16/20,5,2,0,3,410,0
Bhutan,4/17/20,5,2,0,3,51,0
Bhutan,4/18/20,5,2,0,3,194,0
Bhutan,4/19/20,5,2,0,3,24,0
Bhutan,4/20/20,5,2,0,3,439,0
Bhutan,4/21/20,6,2,0,4,195,0
Bhutan,4/22/20,6,2,0,4,188,0
Bhutan,4/23/20,7,3,0,4,421,0
Bhutan,4/24/20,7,3,0,4,101,0
Bhutan,4/25/20,7,3,0,4,168,0
Bhutan,4/26/20,7,4,0,3,148,0
Bhutan,4/27/20,7,4,0,3,38,0
Bhutan,4/28/20,7,5,0,2,36,0
Bhutan,4/29/20,7,5,0,2,99,0
Bhutan,4/30/20,7,5,0,2,81,0
Bhutan,05/01/2020,7,5,0,2,56,0
Bhutan,05/02/2020,7,5,0,2,447,0
Bhutan,05/03/2020,7,5,0,2,213,0
Bhutan,05/04/2020,7,5,0,2,219,0
Bhutan,05/05/2020,7,5,0,2,35,0
Bhutan,05/06/2020,7,5,0,2,358,0
Bhutan,05/07/2020,7,5,0,2,119,0
Bhutan,05/08/2020,7,5,0,2,128,0
Bhutan,05/09/2020,7,5,0,2,165,0
Bhutan,05/10/2020,7,5,0,2,87,0
Bhutan,05/11/2020,9,5,0,4,167,0
Bhutan,05/12/2020,11,5,0,6,341,0
Bhutan,5/13/20,15,5,0,10,92,0
Bhutan,5/14/20,20,5,0,15,677,0
Bhutan,5/15/20,21,5,0,16,379,0
Bhutan,5/16/20,21,5,0,16,349,0
Bhutan,5/17/20,21,5,0,16,41,0
Bhutan,5/18/20,21,5,0,16,261,0
Bhutan,5/19/20,21,5,0,16,261,0
Bhutan,5/20/20,21,5,0,16,71,0
Bhutan,5/21/20,21,6,0,15,233,0
Bhutan,5/22/20,21,6,0,15,316,0
Bhutan,5/23/20,24,6,0,18,450,0
Bhutan,5/24/20,24,6,0,18,425,0
Bhutan,5/25/20,27,6,0,21,430,0
Bhutan,5/26/20,27,6,0,21,119,0
Bhutan,5/27/20,28,6,0,22,136,0
Bhutan,5/28/20,31,6,0,25,158,0
Bhutan,5/29/20,31,6,0,25,203,0
Bhutan,5/30/20,33,6,0,27,291,0
Bhutan,5/31/20,43,6,0,37,200,0
Bhutan,06/01/2020,43,6,0,37,306,0
Bhutan,06/02/2020,47,9,0,38,276,0
Bhutan,06/03/2020,47,9,0,38,278,0
Bhutan,06/04/2020,47,9,0,38,340,0
Bhutan,06/05/2020,48,11,0,37,583,0
Bhutan,06/06/2020,48,11,0,37,183,0
Bhutan,06/07/2020,59,11,0,48,344,0
Bhutan,06/08/2020,59,14,0,45,191,0
Bhutan,06/09/2020,59,17,0,42,243,0
Bhutan,06/10/2020,59,18,0,41,322,0
Bhutan,06/11/2020,62,19,0,43,296,0
Bhutan,06/12/2020,62,19,0,43,129,0
Bhutan,6/13/20,66,21,0,45,83,0
Bhutan,6/14/20,66,21,0,45,119,0
Bhutan,6/15/20,67,22,0,45,413,0
Bhutan,6/16/20,67,24,0,43,416,0
Bhutan,6/17/20,67,24,0,43,230,0
Bhutan,6/18/20,67,25,0,42,460,0
Bhutan,6/19/20,68,28,0,40,272,0
Bhutan,6/20/20,68,30,0,38,105,0
Bhutan,6/21/20,68,30,0,38,327,0
Bhutan,6/22/20,68,32,0,36,222,0
Bhutan,6/23/20,70,34,0,36,192,0
Bhutan,6/24/20,70,34,0,36,381,0
Bhutan,6/25/20,70,34,0,36,108,0
Bhutan,6/26/20,70,38,0,32,131,0
Bhutan,6/27/20,75,38,0,37,108,0
Bhutan,6/28/20,76,38,0,38,131,0
Bhutan,6/29/20,77,44,0,33,73,0
Bhutan,6/30/20,77,48,0,29,135,0
