Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
India,1/30/20,1,0,0,1,1,0
India,1/31/20,1,0,0,1,1,0
India,02/01/2020,1,0,0,1,1,0
India,02/02/2020,2,0,0,2,2,0
India,02/03/2020,3,0,0,3,3,0
India,02/04/2020,3,0,0,3,3,0
India,02/05/2020,3,0,0,3,3,0
India,02/06/2020,3,0,0,3,3,0
India,02/07/2020,3,0,0,3,3,0
India,02/08/2020,3,0,0,3,3,0
India,02/09/2020,3,0,0,3,3,0
India,02/10/2020,3,0,0,3,3,0
India,02/11/2020,3,0,0,3,3,0
India,02/12/2020,3,0,0,3,3,0
India,2/13/20,3,0,0,3,3,0
India,2/14/20,3,0,0,3,3,0
India,2/15/20,3,0,0,3,3,0
India,2/16/20,3,3,0,0,3,0
India,2/17/20,3,3,0,0,3,0
India,2/18/20,3,3,0,0,3,0
India,2/19/20,3,3,0,0,3,0
India,2/20/20,3,3,0,0,3,0
India,2/21/20,3,3,0,0,3,0
India,2/22/20,3,3,0,0,3,0
India,2/23/20,3,3,0,0,3,0
India,2/24/20,3,3,0,0,3,0
India,2/25/20,3,3,0,0,3,0
India,2/26/20,3,3,0,0,3,0
India,2/27/20,3,3,0,0,3,0
India,2/28/20,3,3,0,0,3,0
India,2/29/20,3,3,0,0,3,0
India,03/01/2020,3,3,0,0,3,0
India,03/02/2020,5,3,0,2,10,0
India,03/03/2020,5,3,0,2,10,0
India,03/04/2020,28,3,0,25,60,0
India,03/05/2020,30,3,0,27,75,0
India,03/06/2020,31,3,0,28,78,0
India,03/07/2020,34,3,0,31,80,0
India,03/08/2020,39,3,0,36,78,0
India,03/09/2020,43,3,0,40,75,0
India,03/10/2020,56,4,0,52,89,0
India,03/11/2020,62,4,1,57,102,0
India,03/12/2020,73,4,1,68,68,0
India,3/13/20,82,4,2,76,82,0
India,3/14/20,102,4,2,96,115,0
India,3/15/20,113,13,2,98,123,0
India,3/16/20,119,13,2,104,116,0
India,3/17/20,142,14,3,125,168,0
India,3/18/20,156,14,3,139,179,0
India,3/19/20,194,15,4,175,191,0
India,3/20/20,244,20,5,219,1060,0
India,3/21/20,330,23,4,303,1325,0
India,3/22/20,396,27,7,362,1298,0
India,3/23/20,499,27,10,462,3708,0
India,3/24/20,536,40,10,486,157,0
India,3/25/20,657,43,12,602,4280,1
India,3/26/20,727,45,20,662,3706,1
India,3/27/20,887,73,20,794,4250,1
India,3/28/20,987,84,24,879,3658,1
India,3/29/20,1024,95,27,902,1908,1
India,3/30/20,1251,102,32,1117,3805,1
India,3/31/20,1397,123,35,1239,4350,1
India,04/01/2020,1998,148,58,1792,3756,1
India,04/02/2020,2543,191,72,2280,4895,1
India,04/03/2020,2567,192,72,2303,21294,1
India,04/04/2020,3082,229,86,2767,10705,1
India,04/05/2020,3588,229,99,3260,9584,1
India,04/06/2020,4778,375,136,4267,11534,1
India,04/07/2020,5311,421,150,4740,12947,1
India,04/08/2020,5916,506,178,5232,13904,1
India,04/09/2020,6725,620,226,5879,16991,1
India,04/10/2020,7598,774,246,6578,16420,1
India,04/11/2020,8446,969,288,7189,18044,1
India,04/12/2020,9205,1080,331,7794,16374,1
India,4/13/20,10453,1181,358,8914,21806,1
India,4/14/20,11487,1359,393,9735,27339,1
India,4/15/20,12322,1432,405,10485,29706,1
India,4/16/20,13430,1768,448,11214,28357,1
India,4/17/20,14352,2041,486,11825,32167,1
India,4/18/20,15722,2463,521,12738,37000,1
India,4/19/20,17615,2854,559,14202,29463,1
India,4/20/20,18539,3273,592,14674,38000,1
India,4/21/20,20080,3975,645,15460,33165,1
India,4/22/20,21370,4370,681,16319,28458,1
India,4/23/20,23077,5012,721,17344,35155,1
India,4/24/20,24530,5498,780,18252,41247,1
India,4/25/20,26283,5939,825,19519,38168,1
India,4/26/20,27890,6523,881,20486,45352,1
India,4/27/20,29451,7137,939,21375,40510,1
India,4/28/20,31324,7747,1008,22569,50914,1
India,4/29/20,33062,8437,1079,23546,54031,1
India,4/30/20,34863,9068,1154,24641,59437,1
India,05/01/2020,37257,10007,1223,26027,72453,1
India,05/02/2020,39699,10819,1323,27557,73709,1
India,05/03/2020,42505,11775,1391,29339,70087,1
India,05/04/2020,46437,12847,1566,32024,60783,1
India,05/05/2020,49400,14142,1693,33565,84713,1
India,05/06/2020,52987,15331,1785,35871,84835,1
India,05/07/2020,56351,16776,1889,37686,80632,1
India,05/08/2020,59695,17887,1985,39823,80375,1
India,05/09/2020,62808,19301,2101,41406,85425,1
India,05/10/2020,67161,20969,2212,43980,85824,1
India,05/11/2020,70768,22549,2294,45925,64651,1
India,05/12/2020,74292,24420,2415,47457,85891,1
India,5/13/20,78055,26400,2551,49104,94671,1
India,5/14/20,81997,27969,2649,51379,92791,1
India,5/15/20,85784,30258,2753,52773,92911,1
India,5/16/20,90648,34224,2871,53553,94325,1
India,5/17/20,95698,36795,3025,55878,93365,1
India,5/18/20,100328,39233,3156,57939,75150,1
India,5/19/20,106475,42309,3302,60864,101475,1
India,5/20/20,112028,45422,3434,63172,108121,1
India,5/21/20,118226,48553,3584,66089,103532,1
India,5/22/20,124794,51824,3726,69244,103514,1
India,5/23/20,131423,54385,3868,73170,115364,1
India,5/24/20,138536,57692,4024,76820,108623,1
India,5/25/20,144950,60706,4172,80072,90170,1
India,5/26/20,150793,64277,4344,82172,92528,1
India,5/27/20,158086,67749,4534,85803,116041,1
India,5/28/20,165386,70920,4711,89755,119976,1
India,5/29/20,173491,82627,4980,85884,121702,1
India,5/30/20,181827,86936,5185,89706,127761,1
India,5/31/20,190609,91852,5408,93349,125428,1
India,06/01/2020,198370,95754,5608,97008,100180,0
India,06/02/2020,207191,100285,5829,101077,128868,0
India,06/03/2020,216824,104071,6088,106665,137158,0
India,06/04/2020,226713,108450,6363,111900,139485,0
India,06/05/2020,236184,113233,6649,116302,143661,0
India,06/06/2020,246622,118695,6946,120981,137938,0
India,06/07/2020,257486,123848,7207,126431,142069,0
India,06/08/2020,265928,129095,7473,129360,108048,0
India,06/09/2020,276146,134670,7750,133726,141682,0
India,06/10/2020,286605,135206,8102,143297,145216,0
India,06/11/2020,297535,147195,8498,141842,151808,0
India,06/12/2020,308993,154330,8884,145779,150305,0
India,6/13/20,320922,162379,9195,149348,143737,0
India,6/14/20,332424,169798,9520,153106,151432,0
India,6/15/20,343091,180013,9900,153178,115519,0
India,6/16/20,354065,186935,11903,155227,146936,0
India,6/17/20,366946,194325,12237,160384,163187,0
India,6/18/20,380532,204711,12573,163248,165412,0
India,6/19/20,395048,213831,12948,168269,176959,0
India,6/20/20,410451,227728,13254,169469,189869,0
India,6/21/20,425282,237196,13699,174387,190730,0
India,6/22/20,440215,248190,14011,178014,143267,0
India,6/23/20,456183,258685,14476,183022,187223,0
India,6/24/20,473105,271697,14894,186514,215195,0
India,6/25/20,490401,285637,15301,189463,207871,0
India,6/26/20,508953,295881,15685,197387,215446,0
India,6/27/20,528859,309713,16095,203051,220479,0
India,6/28/20,548318,321723,16475,210120,231095,0
India,6/29/20,566840,334822,16893,215125,170560,0
India,6/30/20,585481,347912,17400,220169,210292,0
India,07/01/2020,604641,359860,17834,226947,217931,0
India,07/02/2020,625544,379892,18213,227439,229588,0
India,07/03/2020,648315,394227,18655,235433,241576,0
India,07/04/2020,673165,409083,19268,244814,242383,0
India,07/05/2020,697413,424433,19693,253287,248934,0
India,07/06/2020,719664,439934,20159,259571,180596,0
India,07/07/2020,742417,456831,20642,264944,241430,0
India,07/08/2020,767296,476378,21129,269789,262679,0
India,07/09/2020,793802,495513,21604,276685,267061,0
India,07/10/2020,820916,515386,22123,283407,283659,0
India,07/11/2020,849522,534618,22673,292231,282511,0
India,07/12/2020,878254,553471,23174,301609,280151,0
India,7/13/20,906752,571460,23727,311565,219103,0
India,7/14/20,936181,592032,24309,319840,286247,0
India,7/15/20,968857,612768,24914,331175,320161,0
India,7/16/20,1003832,635757,25602,342473,326826,0
India,7/17/20,1039084,653751,26273,359060,333228,0
India,7/18/20,1077781,677423,26816,373542,361024,0
India,7/19/20,1118206,700087,27497,390622,358127,0
India,7/20/20,1155338,724578,28082,402678,256039,0
India,7/21/20,1193078,753050,28732,411296,333395,0
India,7/22/20,1238798,782607,29861,426330,343243,0
India,7/23/20,1288108,817209,30601,440298,350823,0
India,7/24/20,1337024,849432,31358,456234,352801,0
India,7/25/20,1385635,885573,32060,468002,420898,0
India,7/26/20,1435616,917568,32771,485277,442263,0
India,7/27/20,1480073,951166,33408,495499,515472,0
India,7/28/20,1531669,988029,34193,509447,528082,0
India,7/29/20,1581963,1019735,34955,527273,408855,0
India,7/30/20,1634746,1055348,35718,543680,446642,0
India,7/31/20,1695988,1094374,36511,565103,642588,0
India,08/01/2020,1750723,1145629,37364,567730,525689,0
India,08/02/2020,1803695,1186203,38135,579357,463172,0
India,08/03/2020,1855745,1230509,38938,586298,381027,0
India,08/04/2020,1908254,1282215,39795,586244,661892,0
India,08/05/2020,1964536,1328336,40699,595501,619652,0
India,08/06/2020,2027074,1378105,41585,607384,664949,0
India,08/07/2020,2088611,1427005,42518,619088,639042,0
India,08/08/2020,2153010,1480884,43379,628747,598778,0
India,08/09/2020,2215074,1535743,44386,634945,719364,0
India,08/10/2020,2268675,1583489,45257,639929,477023,0
India,08/11/2020,2329638,1639599,46091,643948,698290,0
India,08/12/2020,2396637,1695982,47033,653622,733449,0
India,8/13/20,2461190,1751555,48040,661595,830391,0
India,8/14/20,2525922,1808936,49036,667950,848728,0
India,8/15/20,2589952,1862258,49980,677714,868679,0
India,8/16/20,2647663,1919842,50921,676900,746608,0
India,8/17/20,2702681,1977671,51797,673213,731697,0
India,8/18/20,2767253,2037816,52888,676549,899864,0
India,8/19/20,2836925,2096664,53866,686395,801518,0
India,8/20/20,2905825,2158946,54849,692030,918470,0
India,8/21/20,2975701,2222577,55794,697330,805985,0
India,8/22/20,3044940,2280566,56706,707668,1023836,0
India,8/23/20,3106348,2338035,57542,710771,801147,0
India,8/24/20,3167323,2404585,58390,704348,609917,0
India,8/25/20,3224547,2458339,59357,706851,925383,0
India,8/26/20,3310234,2523771,60472,725991,823992,0
India,8/27/20,3387500,2583948,61529,742023,924998,0
India,8/28/20,3463972,2648998,62550,752424,901338,0
India,8/29/20,3542733,2713933,63498,765302,928761,0
India,8/30/20,3621245,2774801,64469,781975,1055027,0
India,8/31/20,3691166,2839882,65288,785996,846278,0
India,09/01/2020,3769523,2901908,66333,801282,1016920,0
India,09/02/2020,3853406,2970492,67376,815538,1012367,0
India,09/03/2020,3936747,3037151,68472,831124,1172179,0
India,09/04/2020,4023179,3107223,69561,846395,1169765,0
India,09/05/2020,4113811,3180865,70626,862320,1059346,0
India,09/06/2020,4204613,3250429,71642,882542,1092654,0
India,09/07/2020,4280422,3323950,72775,883697,720362,0
India,09/08/2020,4370128,3398844,73890,897394,1098621,0
India,09/09/2020,4465863,3471783,75062,919018,1154549,0
India,09/10/2020,4562414,3542663,76271,943480,1129756,0
India,09/11/2020,4659984,3624196,77472,958316,1163542,0
India,09/12/2020,4754356,3702595,78586,973175,1091251,0
India,9/13/20,4846427,3780107,79722,986598,1071702,0
India,9/14/20,4930236,3859399,80776,990061,978500,0
India,9/15/20,5020359,3942360,82066,995933,1072845,0
India,9/16/20,5118253,4025079,83198,1009976,1116842,0
India,9/17/20,5214677,4112551,84372,1017754,1136613,0
India,9/18/20,5308014,4208431,85619,1013964,1006615,0
India,9/19/20,5400619,4303043,86752,1010824,881911,0
India,9/20/20,5487580,4396399,87882,1003299,1206806,0
India,9/21/20,5562663,4497867,88935,975861,731534,0
India,9/22/20,5646010,4587613,90020,968377,933185,0
India,9/23/20,5732518,4674987,91149,966382,953683,0
India,9/24/20,5818570,4756164,92290,970116,1156569,0
India,9/25/20,5903932,4849584,93379,960969,1492409,0
India,9/26/20,5992532,4941627,94503,956402,1341535,0
India,9/27/20,6074702,5016520,95542,962640,987861,0
India,9/28/20,6145291,5101397,96318,947576,709394,0
India,9/29/20,6225763,5187825,97497,940441,1142811,0
India,9/30/20,6312584,5273201,98678,940705,1086688,0
India,10/01/2020,6394068,5352078,99773,942217,1423052,0
India,10/02/2020,6473544,5427706,100842,944996,1097947,0
India,10/03/2020,6549373,5509966,101782,937625,1132675,0
India,10/04/2020,6623815,5586703,102685,934427,1142131,0
India,10/05/2020,6685082,5662490,103569,919023,989860,0
India,10/06/2020,6757131,5744693,104555,907883,1089403,0
India,10/07/2020,6835655,5827704,105526,902425,1199857,0
India,10/08/2020,6906151,5906069,106490,893592,1194321,0
India,10/09/2020,6979423,5988822,107416,883185,1168705,0
India,10/10/2020,7053806,6077976,108334,867496,1164018,0
India,10/11/2020,7120538,6149535,109150,861853,1078544,0
India,10/12/2020,7175880,6227295,109856,838729,994851,0
India,10/13/20,7239389,6301927,110586,826876,1073014,0
India,10/14/20,7307097,6383441,111266,812390,1145015,0
India,10/15/20,7370468,6453779,112161,804528,1136183,0
India,10/16/20,7432680,6524595,112998,795087,1028622,0
India,10/17/20,7494551,6597209,114031,783311,999090,0
India,10/18/20,7550273,6663608,114610,772055,970173,0
India,10/19/20,7597063,6733328,115197,748538,859786,0
India,10/20/20,7651107,6795103,115914,740090,1032795,0
India,10/21/20,7706946,6874518,116616,715812,1083608,0
India,10/22/20,7761312,6948497,117306,695509,1469984,0
India,10/23/20,7814682,7016046,117956,680680,1442722,0
India,10/24/20,7864811,7078123,118534,668154,1269479,0
India,10/25/20,7909959,7137228,119014,653717,1140905,0
India,10/26/20,7946429,7201070,119502,625857,939309,0
India,10/27/20,7990322,7259509,120010,610803,958116,0
India,10/28/20,8040203,7315989,120527,603687,1066786,0
India,10/29/20,8088851,7373375,121090,594386,1075760,0
India,10/30/20,8137119,7432829,121641,582649,1164648,0
India,10/31/20,8184082,7491513,122111,570458,1067976,0
India,11/01/2020,8229313,7544798,122607,561908,1091239,0
India,11/02/2020,8267623,7603121,123097,541405,855800,0
India,11/03/2020,8313876,7656478,123611,533787,1046247,0
India,11/04/2020,8364086,7711809,124315,527962,1209609,0
India,11/05/2020,8411724,7765966,124985,520773,1209425,0
India,11/06/2020,8462080,7819886,125562,516632,1220711,0
India,11/07/2020,8507754,7868968,126121,512665,1113209,0
India,11/08/2020,8553657,7917373,126611,509673,1194487,0
India,11/09/2020,8591730,7959406,127059,505265,835401,0
India,11/10/2020,8636011,8013783,127571,494657,1043665,0
India,11/11/2020,8683916,8066501,128121,489294,1153294,0
India,11/12/2020,8728795,8115580,128668,484547,1193358,0
India,11/13/20,8773479,8163572,129188,480719,1139230,0
India,11/14/20,8814579,8205728,129635,479216,929491,0
India,11/15/20,8845127,8249579,130070,465478,805589,0
India,11/16/20,8874290,8290370,130519,453401,861706,0
India,11/17/20,8912907,8335109,130993,446805,844382,0
India,11/18/20,8958483,8383602,131578,443303,937279,0
India,11/19/20,9004365,8428409,132162,443794,1028203,0
India,11/20/20,9050597,8478124,132726,439747,1083397,0
India,11/21/20,9095806,8521617,133227,440962,1066022,0
India,11/22/20,9139865,8562641,133738,443486,1075326,0
India,11/23/20,9177840,8604955,134218,438667,849596,0
India,11/24/20,9222216,8642771,134699,444746,1099545,0
India,11/25/20,9266705,8679138,135223,452344,1159032,0
India,11/26/20,9309787,8718517,135715,455555,1090238,0
India,11/27/20,9351109,8759969,136200,454940,1131204,0
India,11/28/20,9392919,8802267,136696,453956,1157605,0
India,11/29/20,9431691,8847600,137139,446952,1283449,0
India,11/30/20,9462809,8889585,137621,435603,876173,0
India,12/01/2020,9499413,8932647,138122,428644,969322,0
India,12/02/2020,9534964,8973373,138648,422943,1096651,0
India,12/03/2020,9571559,9016289,139188,416082,1111698,0
India,12/04/2020,9608211,9058822,139700,409689,1170102,0
India,12/05/2020,9644222,9100792,140182,403248,1157763,0
India,12/06/2020,9677203,9139901,140573,396729,1101063,0
India,12/07/2020,9703770,9178946,140958,383866,801081,0
India,12/08/2020,9735850,9215581,141360,378909,1026399,0
India,12/09/2020,9767371,9253306,141772,372293,1022712,0
India,12/10/2020,9796744,9290809,142185,363750,922959,0
India,12/11/2020,9826775,9324328,142628,359819,1013341,0
India,12/12/2020,9857029,9357464,143019,356546,950058,0
India,12/13/20,9884100,9388159,143355,352586,1014434,0
India,12/14/20,9906165,9422636,143709,339820,855157,0
India,12/15/20,9932547,9456449,144096,332002,993665,0
India,12/16/20,9956557,9489740,144451,322366,1085625,0
India,12/17/20,9979447,9520827,144789,313831,1158960,0
India,12/18/20,10004599,9550712,145136,308751,1113406,0
India,12/19/20,10031223,9580402,145477,305344,1171868,0
India,12/20/20,10055560,9606111,145810,303639,1107681,0
India,12/21/20,10075116,9636487,146111,292518,900134,0
India,12/22/20,10099066,9663382,146444,289240,1072228,0
India,12/23/20,10123778,9693173,146756,283849,1098164,0
India,12/24/20,10146845,9717834,147092,281919,1039645,0
India,12/25/20,10169118,9740108,147343,281667,997396,0
India,12/26/20,10187850,9761538,147622,278690,853527,0
India,12/27/20,10207871,9782669,147901,277301,943368,0
India,12/28/20,10224303,9807569,148153,268581,715397,0
India,12/29/20,10244852,9834141,148439,262272,983695,0
India,12/30/20,10266674,9860280,148738,257656,1120281,0
India,12/31/20,10266674,9860280,148738,257656,1127244,0
India,01/01/2021,10286709,9883461,148994,254254,1062420,0
India,01/02/2021,10323965,9927310,149435,247220,829964,0
India,01/03/2021,10340469,9946867,149649,243953,958125,0
India,01/04/2021,10356844,9975958,149850,231036,735978,0
India,01/05/2021,10374932,9997272,150114,227546,896236,0
India,01/06/2021,10395278,10016859,150336,228083,931408,0
India,01/07/2021,10413417,10037398,150570,225449,937590,0
India,01/08/2021,10413417,10037398,150570,225449,935369,0
India,01/09/2021,10450284,10075950,150999,223335,916951,0
India,01/10/2021,10466595,10092909,151160,222526,843307,0
India,01/11/2021,10479179,10111294,151327,216558,659209,0
India,01/12/2021,10495147,10129111,151529,214507,897056,0
India,1/13/21,10512093,10146763,151727,213603,836227,0
India,1/14/21,10527683,10162738,151918,213027,743191,0
India,1/15/21,10542841,10179715,152093,211033,730096,0
India,1/16/21,10557985,10196885,152274,208826,803090,0
India,1/17/21,10571773,10211342,152419,208012,779377,0
India,1/18/21,10581823,10228753,152556,200514,548168,0
India,1/19/21,10595639,10245741,152718,197180,709791,0
India,1/20/21,10610883,10265706,152869,192308,764120,0
India,1/21/21,10625428,10283702,153032,188694,780835,0
India,1/22/21,10639684,10300838,153184,185662,800242,0
India,1/23/21,10654533,10316786,153339,184408,837095,0
India,1/24/21,10667736,10330084,153470,184182,781752,0
India,1/25/21,10676838,10345985,153587,177266,570246,0
India,1/26/21,10689527,10359305,153724,176498,725577,0
India,1/27/21,10701193,10373606,153847,173740,550426,0
India,1/28/21,10720048,10394352,154010,171686,725653,0
India,1/29/21,10733130,10409146,154147,169837,742306,0
India,1/30/21,10746174,10423109,154274,168791,756329,0
India,1/31/21,10757610,10434983,154392,168235,750964,0
India,02/01/2021,10766245,10448406,154486,163353,504263,0
India,02/02/2021,10777284,10462631,154596,160057,659422,0
India,02/03/2021,10790183,10480455,154703,155025,721121,0
India,02/04/2021,10802591,10496308,154823,151460,742841,0
India,02/05/2021,10814304,10510796,154918,148590,715776,0
India,02/06/2021,10826363,10522601,154996,148766,740794,0
India,02/07/2021,10838194,10534505,155080,148609,695789,0
India,02/08/2021,10847304,10548521,155158,143625,532236,0
India,02/09/2021,10858371,10561608,155252,141511,687138,0
India,02/10/2021,10871294,10573372,155360,142562,736903,0
India,02/11/2021,10880603,10589230,155447,135926,699185,0
India,02/12/2021,10892746,10600625,155550,136571,765944,0
India,2/13/21,10904940,10611731,155642,137567,743614,0
India,2/14/21,10916589,10621220,155732,139637,697114,0
India,2/15/21,10925710,10633025,155813,136872,486122,0
India,2/16/21,10937320,10644858,155913,136549,615664,0
India,2/17/21,10950201,10656845,156014,137342,644931,0
India,2/18/21,10963394,10667741,156111,139542,726562,0
India,2/19/21,10977387,10678048,156212,143127,771071,0
India,2/20/21,10991651,10689715,156302,145634,786618,0
India,2/21/21,11005850,10699410,156385,150055,670050,0
India,2/22/21,11016434,10712665,156463,147306,620216,0
India,2/23/21,11030176,10726702,156567,146907,678685,0
India,2/24/21,11046914,10738501,156705,151708,805844,0
India,2/25/21,11063491,10750680,156825,155986,793383,0
India,2/26/21,11079979,10763451,156938,159590,831807,0
India,2/27/21,11096731,10775169,157051,164511,773918,0
India,2/28/21,11112241,10786452,157157,168632,795723,0
India,03/01/2021,11124527,10798921,157248,168358,627668,0
India,03/02/2021,11139516,10812044,157346,170126,759283,0
India,03/03/2021,11156923,10826075,157435,173413,785220,0
India,03/04/2021,11173761,10839894,157548,176319,775631,0
India,03/05/2021,11192045,10854126,157656,180263,761834,0
India,03/06/2021,11210799,10868520,157756,184523,751935,0
India,03/07/2021,11229398,10882798,157853,188747,737830,0
India,03/08/2021,11244786,10899394,157930,187462,751876,0
