Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Maldives,03/08/2020,4,0,0,4,4,0
Maldives,03/09/2020,4,0,0,4,4,0
Maldives,03/10/2020,6,0,0,6,8,0
Maldives,03/11/2020,8,0,0,8,8,0
Maldives,03/12/2020,8,0,0,8,8,0
Maldives,3/13/20,9,0,0,9,11,0
Maldives,3/14/20,10,0,0,10,15,0
Maldives,3/15/20,13,0,0,13,15,0
Maldives,3/16/20,13,0,0,13,15,0
Maldives,3/17/20,13,0,0,13,33,0
Maldives,3/18/20,13,0,0,13,209,0
Maldives,3/19/20,13,0,0,13,56,0
Maldives,3/20/20,13,0,0,13,44,0
Maldives,3/21/20,13,0,0,13,30,0
Maldives,3/22/20,13,0,0,13,50,0
Maldives,3/23/20,13,0,0,13,30,0
Maldives,3/24/20,13,5,0,8,44,0
Maldives,3/25/20,13,8,0,5,33,0
Maldives,3/26/20,13,8,0,5,23,0
Maldives,3/27/20,16,9,0,7,24,0
Maldives,3/28/20,16,9,0,7,57,0
Maldives,3/29/20,17,13,0,4,36,0
Maldives,3/30/20,17,13,0,4,58,0
Maldives,3/31/20,18,13,0,5,62,0
Maldives,04/01/2020,19,13,0,6,67,0
Maldives,04/02/2020,19,13,0,6,92,0
Maldives,04/03/2020,19,13,0,6,92,0
Maldives,04/04/2020,19,13,0,6,103,0
Maldives,04/05/2020,19,13,0,6,22,0
Maldives,04/06/2020,19,13,0,6,285,0
Maldives,04/07/2020,19,13,0,6,115,0
Maldives,04/08/2020,19,13,0,6,92,0
Maldives,04/09/2020,19,13,0,6,68,0
Maldives,04/10/2020,19,13,0,6,62,0
Maldives,04/11/2020,19,13,0,6,85,0
Maldives,04/12/2020,20,14,0,6,74,0
Maldives,4/13/20,20,14,0,6,60,0
Maldives,4/14/20,20,16,0,4,24,0
Maldives,4/15/20,22,16,0,6,374,0
Maldives,4/16/20,25,16,0,9,88,0
Maldives,4/17/20,28,16,0,12,65,1
Maldives,4/18/20,35,16,0,19,77,1
Maldives,4/19/20,52,16,0,36,68,1
Maldives,4/20/20,69,16,0,53,62,1
Maldives,4/21/20,83,16,0,67,92,1
Maldives,4/22/20,86,16,0,70,85,1
Maldives,4/23/20,108,16,0,92,95,1
Maldives,4/24/20,129,16,0,113,549,1
Maldives,4/25/20,177,17,0,160,263,1
Maldives,4/26/20,214,17,0,197,428,1
Maldives,4/27/20,226,17,0,209,326,1
Maldives,4/28/20,250,17,0,233,420,1
Maldives,4/29/20,278,17,1,260,435,1
Maldives,4/30/20,468,17,1,450,420,1
Maldives,05/01/2020,491,17,1,473,443,1
Maldives,05/02/2020,519,18,1,500,465,1
Maldives,05/03/2020,527,18,1,508,382,1
Maldives,05/04/2020,541,18,1,522,288,1
Maldives,05/05/2020,573,20,2,551,497,1
Maldives,05/06/2020,617,20,2,595,482,1
Maldives,05/07/2020,648,20,3,625,407,1
Maldives,05/08/2020,744,20,3,721,474,1
