Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Nepal,1/25/20,1,0,0,1,1,0
Nepal,1/26/20,1,0,0,1,1,0
Nepal,1/27/20,1,0,0,1,1,0
Nepal,1/28/20,1,0,0,1,1,0
Nepal,1/29/20,1,0,0,1,1,0
Nepal,1/30/20,1,0,0,1,1,0
Nepal,1/31/20,1,0,0,1,1,0
Nepal,02/01/2020,1,0,0,1,1,0
Nepal,02/02/2020,1,0,0,1,1,0
Nepal,02/03/2020,1,0,0,1,1,0
Nepal,02/04/2020,1,0,0,1,1,0
Nepal,02/05/2020,1,0,0,1,1,0
Nepal,02/06/2020,1,0,0,1,1,0
Nepal,02/07/2020,1,0,0,1,1,0
Nepal,02/08/2020,1,0,0,1,1,0
Nepal,02/09/2020,1,0,0,1,1,0
Nepal,02/10/2020,1,0,0,1,1,0
Nepal,02/11/2020,1,0,0,1,1,0
Nepal,02/12/2020,1,1,0,0,1,0
Nepal,2/13/20,1,1,0,0,4,0
Nepal,2/14/20,1,1,0,0,4,0
Nepal,2/15/20,1,1,0,0,4,0
Nepal,2/16/20,1,1,0,0,4,0
Nepal,2/17/20,1,1,0,0,4,0
Nepal,2/18/20,1,1,0,0,4,0
Nepal,2/19/20,1,1,0,0,175,0
Nepal,2/20/20,1,1,0,0,2,0
Nepal,2/21/20,1,1,0,0,2,0
Nepal,2/22/20,1,1,0,0,4,0
Nepal,2/23/20,1,1,0,0,1,0
Nepal,2/24/20,1,1,0,0,1,0
Nepal,2/25/20,1,1,0,0,4,0
Nepal,2/26/20,1,1,0,0,1,0
Nepal,2/27/20,1,1,0,0,4,0
Nepal,2/28/20,1,1,0,0,2,0
Nepal,2/29/20,1,1,0,0,1,0
Nepal,03/01/2020,1,1,0,0,4,0
Nepal,03/02/2020,1,1,0,0,182,0
Nepal,03/03/2020,1,1,0,0,8,0
Nepal,03/04/2020,1,1,0,0,4,0
Nepal,03/05/2020,1,1,0,0,2,0
Nepal,03/06/2020,1,1,0,0,1,0
Nepal,03/07/2020,1,1,0,0,8,0
Nepal,03/08/2020,1,1,0,0,1,0
Nepal,03/09/2020,1,1,0,0,1,0
Nepal,03/10/2020,1,1,0,0,2,0
Nepal,03/11/2020,1,1,0,0,2,0
Nepal,03/12/2020,1,1,0,0,3,0
Nepal,3/13/20,1,1,0,0,6,0
Nepal,3/14/20,1,1,0,0,8,0
Nepal,3/15/20,1,1,0,0,2,0
Nepal,3/16/20,1,1,0,0,11,0
Nepal,3/17/20,1,1,0,0,18,0
Nepal,3/18/20,1,1,0,0,16,0
Nepal,3/19/20,1,1,0,0,17,0
Nepal,3/20/20,1,1,0,0,17,0
Nepal,3/21/20,1,1,0,0,14,0
Nepal,3/22/20,1,1,0,0,15,0
Nepal,3/23/20,2,1,0,1,37,0
Nepal,3/24/20,2,1,0,1,1,1
Nepal,3/25/20,3,1,0,2,77,1
Nepal,3/26/20,3,1,0,2,71,1
Nepal,3/27/20,4,1,0,3,44,1
Nepal,3/28/20,5,1,0,4,73,1
Nepal,3/29/20,5,1,0,4,42,1
Nepal,3/30/20,5,1,0,4,76,1
Nepal,3/31/20,5,1,0,4,67,1
Nepal,04/01/2020,5,1,0,4,85,1
Nepal,04/02/2020,6,1,0,5,40,1
Nepal,04/03/2020,6,1,0,5,123,1
Nepal,04/04/2020,9,1,0,8,213,1
Nepal,04/05/2020,9,1,0,8,121,1
Nepal,04/06/2020,9,1,0,8,248,1
Nepal,04/07/2020,9,1,0,8,232,1
Nepal,04/08/2020,9,1,0,8,244,1
Nepal,04/09/2020,9,1,0,8,529,1
Nepal,04/10/2020,9,1,0,8,630,1
Nepal,04/11/2020,9,1,0,8,901,1
Nepal,04/12/2020,12,1,0,11,758,1
Nepal,4/13/20,14,1,0,13,507,1
Nepal,4/14/20,16,1,0,15,608,1
Nepal,4/15/20,16,1,0,15,572,1
Nepal,4/16/20,16,2,0,14,369,1
Nepal,4/17/20,30,2,0,28,218,1
Nepal,4/18/20,31,2,0,29,555,1
Nepal,4/19/20,31,4,0,27,68,1
Nepal,4/20/20,31,4,0,27,333,1
Nepal,4/21/20,43,4,0,39,349,1
Nepal,4/22/20,45,7,0,38,251,1
Nepal,4/23/20,48,10,0,38,186,1
Nepal,4/24/20,49,11,0,38,206,1
Nepal,4/25/20,49,12,0,37,260,1
Nepal,4/26/20,52,16,0,36,265,1
Nepal,4/27/20,52,16,0,36,540,1
Nepal,4/28/20,54,16,0,38,336,1
Nepal,4/29/20,57,16,0,41,717,1
Nepal,4/30/20,57,16,0,41,487,1
Nepal,05/01/2020,59,16,0,43,566,1
Nepal,05/02/2020,59,16,0,43,521,1
Nepal,05/03/2020,75,16,0,59,326,1
Nepal,05/04/2020,75,16,0,59,216,1
Nepal,05/05/2020,82,16,0,66,210,1
Nepal,05/06/2020,99,22,0,77,246,1
Nepal,05/07/2020,101,22,0,79,415,1
Nepal,05/08/2020,102,31,0,71,981,1
Nepal,05/09/2020,110,31,0,79,817,1
Nepal,05/10/2020,110,31,0,79,589,1
Nepal,05/11/2020,134,33,0,101,911,1
Nepal,05/12/2020,217,33,0,184,1155,1
Nepal,5/13/20,250,35,0,215,2376,1
Nepal,5/14/20,249,35,0,214,1324,1
Nepal,5/15/20,267,36,0,231,1250,1
Nepal,5/16/20,291,36,1,254,2777,1
Nepal,5/17/20,295,36,2,257,1470,1
Nepal,5/18/20,375,36,2,337,2563,1
