Country,Date,Confirmed,Recovered,Deaths,Active,Test_conducted,Lockdown
Pakistan,2/25/20,2,0,0,2,2,0
Pakistan,2/26/20,2,0,0,2,2,0
Pakistan,2/27/20,2,0,0,2,2,0
Pakistan,2/28/20,4,0,0,4,6,0
Pakistan,2/29/20,4,0,0,4,8,0
Pakistan,03/01/2020,4,0,0,4,8,0
Pakistan,03/02/2020,5,0,0,5,12,0
Pakistan,03/03/2020,5,0,0,5,12,0
Pakistan,03/04/2020,5,0,0,5,12,0
Pakistan,03/05/2020,6,0,0,6,15,0
Pakistan,03/06/2020,6,0,0,6,15,0
Pakistan,03/07/2020,6,1,0,5,16,0
Pakistan,03/08/2020,6,1,0,5,16,0
Pakistan,03/09/2020,16,1,0,15,25,0
Pakistan,03/10/2020,19,2,0,17,28,0
Pakistan,03/11/2020,20,2,0,18,30,0
Pakistan,03/12/2020,28,2,0,26,60,0
Pakistan,3/13/20,31,2,0,29,78,0
Pakistan,3/14/20,53,2,0,51,75,0
Pakistan,3/15/20,136,2,0,134,149,0
Pakistan,3/16/20,236,2,0,234,292,0
Pakistan,3/17/20,299,2,0,297,16,0
Pakistan,3/18/20,454,13,2,439,1022,0
Pakistan,3/19/20,501,13,3,485,1247,0
Pakistan,3/20/20,730,13,3,714,591,0
Pakistan,3/21/20,776,5,5,766,1224,0
Pakistan,3/22/20,875,5,6,864,219,0
Pakistan,3/23/20,972,18,7,947,413,1
Pakistan,3/24/20,1063,21,8,1034,266,1
Pakistan,3/25/20,1201,21,9,1171,326,1
Pakistan,3/26/20,1373,23,11,1339,1386,1
Pakistan,3/27/20,1495,29,12,1454,5396,1
Pakistan,3/28/20,1597,29,14,1554,1105,1
Pakistan,3/29/20,1717,76,21,1620,412,1
Pakistan,3/30/20,1938,76,26,1836,935,1
Pakistan,3/31/20,2118,94,27,1997,284,1
Pakistan,04/01/2020,2421,125,34,2262,1357,1
Pakistan,04/02/2020,2686,126,40,2520,12984,1
Pakistan,04/03/2020,2818,131,41,2646,2622,1
Pakistan,04/04/2020,3157,211,47,2899,1955,1
Pakistan,04/05/2020,3766,259,53,3454,990,1
Pakistan,04/06/2020,4035,429,57,3549,3308,1
Pakistan,04/07/2020,4263,467,61,3735,2976,1
Pakistan,04/08/2020,4489,572,65,3852,2737,1
Pakistan,04/09/2020,4695,727,66,3902,9810,1
Pakistan,04/10/2020,5011,762,86,4163,3130,1
Pakistan,04/11/2020,5230,1028,91,4111,3965,1
Pakistan,04/12/2020,5496,1095,93,4308,3313,1
Pakistan,4/13/20,5837,1378,96,4363,4814,1
Pakistan,4/14/20,6383,1446,111,4826,3511,1
Pakistan,4/15/20,6919,1645,128,5146,5540,1
Pakistan,4/16/20,7025,1765,135,5125,5725,1
Pakistan,4/17/20,7638,1832,143,5663,7844,1
Pakistan,4/18/20,8348,1868,168,6312,5974,1
Pakistan,4/19/20,8418,1970,176,6272,5780,1
Pakistan,4/20/20,9565,2073,201,7291,5987,1
Pakistan,4/21/20,10076,2156,212,7708,6015,1
Pakistan,4/22/20,11155,2527,237,8391,6214,1
Pakistan,4/23/20,11940,2755,253,8932,6529,1
Pakistan,4/24/20,12723,2866,269,9588,6816,1
Pakistan,4/25/20,13328,2936,281,10111,6782,1
Pakistan,4/26/20,13915,3029,292,10594,6218,1
Pakistan,4/27/20,14612,3233,312,11067,6391,1
Pakistan,4/28/20,15525,3425,343,11757,6467,1
Pakistan,4/29/20,16817,4315,385,12117,8688,1
Pakistan,4/30/20,18114,4715,417,12982,8249,1
Pakistan,05/01/2020,19103,4817,440,13846,7971,1
Pakistan,05/02/2020,20084,5114,457,14513,11728,1
Pakistan,05/03/2020,20941,5635,476,14830,9166,1
Pakistan,05/04/2020,22049,5801,514,15734,9486,1
Pakistan,05/05/2020,24073,6464,564,17045,9893,1
Pakistan,05/06/2020,24644,6464,585,17595,10178,1
Pakistan,05/07/2020,26435,7530,599,18306,12196,1
Pakistan,05/08/2020,28736,7809,636,20291,12469,1
Pakistan,05/09/2020,30334,8063,659,21612,12778,0
Pakistan,05/10/2020,32081,8555,706,22820,13492,0
Pakistan,05/11/2020,34336,8812,737,24787,11377,0
Pakistan,05/12/2020,35298,8899,761,25638,10957,0
Pakistan,5/13/20,35788,9695,770,25323,11848,0
Pakistan,5/14/20,38799,10880,834,27085,13051,0
Pakistan,5/15/20,38799,10880,834,27085,13700,0
Pakistan,5/16/20,40151,11341,873,27937,14814,0
Pakistan,5/17/20,42125,11922,903,29300,14146,0
Pakistan,5/18/20,43966,12489,939,30538,13925,0
Pakistan,5/19/20,45898,13101,985,31812,12957,0
Pakistan,5/20/20,48091,14155,1017,32919,13962,0
Pakistan,5/21/20,50694,15201,1067,34426,15346,0
Pakistan,5/22/20,52437,16653,1101,34683,16387,0
Pakistan,5/23/20,54601,17198,1133,36270,14705,0
Pakistan,5/24/20,56349,17482,1167,37700,12915,0
Pakistan,5/25/20,57705,18314,1197,38194,10049,0
Pakistan,5/26/20,59151,19142,1225,38784,7252,0
Pakistan,5/27/20,61227,20231,1260,39736,8491,0
Pakistan,5/28/20,64028,22305,1317,40406,8687,0
Pakistan,5/29/20,66457,24131,1395,40931,11931,0
Pakistan,5/30/20,69496,25271,1483,42742,12020,0
Pakistan,5/31/20,72460,26083,1543,44834,14993,0
Pakistan,06/01/2020,76398,27110,1621,47667,14106,0
Pakistan,06/02/2020,80463,28923,1688,49852,16838,0
Pakistan,06/03/2020,85264,30128,1770,53366,17370,0
Pakistan,06/04/2020,89249,31198,1838,56213,20167,0
Pakistan,06/05/2020,93983,32581,1935,59467,22812,0
Pakistan,06/06/2020,98943,33465,2002,63476,22185,0
Pakistan,06/07/2020,103671,34355,2067,67249,23100,0
Pakistan,06/08/2020,108317,35018,2172,71127,22225,0
Pakistan,06/09/2020,113702,36308,2255,75139,24620,0
